UID,District,Taluka,UC,Deh,Settlement,Latitude,Longitude,Sensitive,SMP,disp_uid,scheme_uid,infra_uid,school_uid,vill_2km_u,road_near,rd_osm_id,road_name,road_type,road_dist
"0",Badin,Matli,Malhan,Jharki,Sonharo Khaskheli,"25.0691728","68.7289716",,NRSP,,,,"15379",0-4-7-165,tertiary,"683983499",,tertiary,538.753162257847521
"1",Badin,Matli,Malhan,Malhan,Malhan,"25.0627236","68.7034638",,NRSP,,,,"10676",1-4-7-82-139,unclassified,"571019772",,unclassified,376.260070908536079
"2",Badin,Matli,Nabi Bux Khambo,Khairwah,Mubarak Dasti,"25.1139885","68.7855725",,NRSP,,,,,"2",tertiary,"683983499",,tertiary,604.469591848181835
"3",Badin,Matli,Nabi Bux Khambo,Khairwah,Gul Muhammad Mangrio,"25.1076022","68.8133571",,NRSP,,,,15421-18224,"3",tertiary,"683983499",,tertiary,981.195919293192105
"4",Badin,Matli,Malhan,Udhejani,Ramzan Jat,"25.0545753","68.7205595",,NRSP,,,,"9676",0-1-4-7-82-139,tertiary,"450363963",,tertiary,238.966771463977580
"5",Badin,Matli,Malhan,Malhan,Waroo Mahar,"25.0831713","68.7102983",,NRSP,,,,,5-7-165,unclassified,"715988151",,unclassified,267.880055942329022
"6",Badin,Matli,Malhan,More,Ismail Udhejo,"25.0366809","68.6726473",,NRSP,,,,"15417",6-147,tertiary,"683983509",,tertiary,855.138155543382709
"7",Badin,Matli,Malhan,Malhan,Peerano Lund,"25.0684713","68.7192975",,NRSP,,,,9670-9676,0-1-4-5-7-82-165,secondary,"683972882",,secondary,905.573860133705352
"8",Badin,Matli,Nabi Bux Khambo,Keenjhar,Haji Kirar Khoso,"25.0751683","68.79231",,NRSP,,,,15377-15396,8-9-63-146-149,secondary,"683972882",,secondary,1291.772538257514498
"9",Badin,Matli,Nabi Bux Khambo,Keenjhar,Haji Ibrahim Khoso,"25.0730774","68.799716",,NRSP,,,,15377-15396,8-9-63-146-149,secondary,"717309448",,secondary,1119.700183545629216
"10",Badin,Matli,Malhan,Udhejani,Village Saleh Soomro,"25.0280018","68.7267664",,NRSP,,,,"9672","10",unclassified,"714066830",,unclassified,2323.396856645599655
"11",Badin,Matli,Malhan,Ali Pur,Village Siddique Soomro,"25.0343296","68.7047692",,NRSP,,,,10270-16749,11-72-139,tertiary,"450363963",,tertiary,218.866416719660521
"12",Badin,Matli,Haji Allah Dino Sarewal,Chhan Ganga,Village Daim Khaskheli,"25.1509734","68.7658154",,NRSP,,,,9383-9827,12-16-90,footway,"571704934",,footway,2948.911972802016408
"13",Badin,Matli,Malhan,Rain,Ahmed Dars,"25.0235437","68.7580418",,NRSP,,,,"9666",13-144,residential,"404245852",,residential,3770.746390174890166
"14",Badin,Matli,Tharee,Panjam Hisso,Baksho Nizamani,"25.0014927","68.8532316",,NRSP,,,,,14-56-75-76,unclassified,"713816899",,unclassified,480.089634712359782
"15",Badin,Matli,Haji Allah Dino Sarewal,Chhan Ganga,Village Lakshri Khoso,"25.1469283","68.74545",,NRSP,,,,,"15",footway,"571704934",,footway,4016.676508738625671
"16",Badin,Matli,Haji Allah Dino Sarewal,Chhan Ganga,Village Qazi Azam Dusti,"25.1520569","68.7791711",,NRSP,,,,,12-16-24-50-90,footway,"571704934",,footway,3092.365124191424911
"17",Badin,Matli,Manik Laghari,Ghari Bhiri,Saifudin Laghari,"25.206059","68.7838314",,NRSP,,,"219",12187-14710,"17",secondary,"715562052",,secondary,230.026496833318873
"18",Badin,Matli,Haji Sawan,Khudi,Village Gollo Mallah,"24.9777856","68.7975575",,NRSP,,,,15423-15455,"18",tertiary,"714064498",,tertiary,3110.128311215250051
"19",Badin,Matli,Manik Laghari,Daro Sendi,Village Ghull Muhammad Ji Otaq,"25.2288664","68.7063864",,NRSP,,,,,19-20-21,tertiary,"573310816",,tertiary,157.190141655971843
"20",Badin,Matli,Manik Laghari,Daro Sendi,Village Abdullah Machi,"25.2306137","68.7002297",,NRSP,,,,,19-20-21,tertiary,"573310816",,tertiary,378.035227987146754
"21",Badin,Matli,Manik Laghari,Daro Sendi,Village Khadim Machi,"25.234345","68.7028845",,NRSP,,,,,19-20-21,tertiary,"573310816",,tertiary,113.314886866369420
"22",Badin,Matli,Manik Laghari,Daro Sendi,Village Ditto Daudano,"25.2484","68.7263867",,NRSP,,,,"16722","22",unclassified,"717309439",,unclassified,1926.222635922477821
"23",Badin,Matli,Haji Allah Dino Sarewal,Deraro,Village Haji Mevo Phalkaro,"25.1632552","68.8116575",,NRSP,,,,"10285",23-49,tertiary,"683983499",,tertiary,1306.262207641944542
"24",Badin,Matli,Haji Allah dino sarewal,Dekharo,Village long dasti,"25.1656317","68.783305",,NRSP,,,,,16-24-49-50,footway,"571704934",,footway,2130.411271799408041
"25",Badin,Matli,Haji Allah dino sarewal,Chan ganga,Village Khan muhmmad lighari,"25.1814075","68.7423873",,NRSP,,,,"14705","25",footway,"571704934",,footway,1103.845966678577497
"26",Badin,Matli,Haji Sawan,Khudi,Gul Muhamad Junejo,"25.003266","68.8172491",,NRSP,,,,,26-77,secondary,"235474902",,secondary,1855.446355038743150
"27",Badin,Matli,Dumbalo,Kalwari,Village Arjan bhagat,"25.15777","68.9710967",,NRSP,,,,9817-14699,27-28-130-132-154-182-185,unclassified,"476371227",,unclassified,366.773372830703124
"28",Badin,Matli,Dumbalo,Kalwari,Village mitho kolhi,"25.1615367","68.96468",,NRSP,,,,"14699",27-28-130-131-132-154-182-185-186,tertiary,"717309446",,tertiary,996.053758777839107
"29",Badin,Matli,Dumbalo,Goplo,Village Versi kolhi,"25.1797567","68.9455117",,NRSP,,,,10268-10981,29-130-131-133-136-186,tertiary,"717309446",,tertiary,351.113470297148297
"30",Badin,TANDOBAGO,Khan Bahdur Mir G Talpur,Rajuri 1,Mang Memon,"24.7601148","69.0293066",,NRSP,,,,8102-8294,30-100-101-102,tertiary,"715594232",,tertiary,711.367418947767987
"31",Badin,Badin,Dr. Abdullah Soomro,Chorhalo,Village Abdullah Soomro,"24.649112","68.8791944",Mosque and School,NRSP,,,,,"31",tertiary,"407711906",,tertiary,49.628898844655488
"32",Badin,Matli,Phalkara,Kachar,Pir Muhammad Shah,"25.1522021","68.7232774",Murad wah 180M,NRSP,,,,"15428",32-33,tertiary,"578388794",,tertiary,3740.910722686009649
"33",Badin,Matli,Phalkara,Kachar,Jumoo khaskheli,"25.1538658","68.7196718","School ,mosque, canals near 200M",NRSP,,,,"15428",32-33,tertiary,"578388794",,tertiary,3468.959179069937818
"34",Badin,Matli,Dumbalo,Lorel,Haji juman bagrani,"25.1203714","68.9859242","School, mosque ,hospital",NRSP,,,,"16732",34-123-124-125-126,unclassified,"713816900",,unclassified,20.467991599010816
