S_No,Division,District,Taluka,UC,Name_of_th,Latitude,Longitude,HF_Managed,Status,Funded_By,Phase
"4",Hyderabad,Jamshoro,Kotri,Petaro,District Council Dispensary Petaro,25.53528000000,68.32135300000,DOH,Functional,World Bank,Second Phase
"32",Hyderabad,Thatta,Thatta,Jhimpeer,Government Dispensary Looni Kot,25.33714000000,68.14597200000,DOH,Functional,Islamic Dev: Bank,First Phase
"38",Hyderabad,Badin,Golarchi,Ahmed Rajo,Government Dispensary Nehmat Gujar,24.64315000000,68.55033611000,DOH,Non Functional,World Bank,Second Phase
"39",Hyderabad,Badin,Golarchi,Ahmed Rajo,Government Dispensary Chak-05,24.58242000000,68.59397200000,DOH,Functional,World Bank,Second Phase
"40",Hyderabad,Badin,Golarchi,Ahmed Rajo,Government Dispensary Chak-10,24.50778000000,68.64298600000,DOH,Functional,World Bank,Second Phase
"41",Hyderabad,Badin,Golarchi,Gharo,Government Dispensary Mohammad Ali Mandharo,24.58794000000,68.66580000000,DOH,Non Functional,World Bank,Second Phase
"42",Hyderabad,Badin,Golarchi,Golarchi,Government Dispensary Chak-36,24.53620000000,68.54630600000,DOH,Functional,World Bank,Second Phase
"43",Hyderabad,Badin,Golarchi,Golarchi,Government Dispensary Ismail Khan Notkani,25.01972000000,68.78476400000,DOH,Non Functional,World Bank,Second Phase
"44",Hyderabad,Badin,Golarchi,Tarai,Government Dispensary Abdul Majeed Nohani,24.73393000000,68.68901000000,DOH,Functional,World Bank,Second Phase
"45",Hyderabad,Badin,Golarchi,Tarai,Government Dispensary Ghohram Khan Nohani,24.76152000000,68.67076000000,DOH,Non Functional,World Bank,Second Phase
"46",Hyderabad,Badin,Golarchi,Tarai,Government Dispensary Meran Patel Samejo,24.70410000000,68.64393000000,DOH,Non Functional,World Bank,Second Phase
"47",Hyderabad,Badin,Matli,Ghulam Shah,Government Dispensary Jan Mohammad Laghari,25.21964000000,68.74677000000,DOH,Non Functional,World Bank,Second Phase
"48",Hyderabad,Badin,Talhar,GM Nizamani,Government Dispensary Kamal Halepota,24.92021000000,68.83919444000,DOH,Non Functional,World Bank,Second Phase
"49",Hyderabad,Badin,Talhar,Peru Lashari,Government Dispensary Peru Lashari,24.76529000000,68.81493100000,DOH,Non Functional,World Bank,Second Phase
"50",Hyderabad,Badin,Badin,Lunari Sharif,Government Dispensary Ishaque Samoo,24.51144000000,68.89134700000,DOH,Functional,World Bank,Second Phase
"51",Hyderabad,Badin,Badin,Nindo,Government Dispensary Arbab Baqa Nohario,24.60939000000,69.05626700000,DOH,Functional,World Bank,Second Phase
