District,Taluka,UC,Deh,Settlement,Latitude,Longitude,Sensitive Receptor (within 200m),SMP,
Badin,Matli,Malhan,Jharki,Sonharo Khaskheli,25.0691728,68.7289716,,NRSP,
Badin,Matli,Malhan,Malhan,Malhan,25.0627236,68.7034638,,NRSP,
Badin,Matli,Nabi Bux Khambo,Khairwah,Mubarak Dasti,25.1139885,68.7855725,,NRSP,
Badin,Matli,Nabi Bux Khambo,Khairwah,Gul Muhammad Mangrio,25.1076022,68.8133571,,NRSP,
Badin,Matli,Malhan,Udhejani,Ramzan Jat,25.0545753,68.7205595,,NRSP,
Badin,Matli,Malhan,Malhan,Waroo Mahar,25.0831713,68.7102983,,NRSP,
Badin,Matli,Malhan,More,Ismail Udhejo,25.0366809,68.6726473,,NRSP,
Badin,Matli,Malhan,Malhan,Peerano Lund,25.0684713,68.7192975,,NRSP,
Badin,Matli,Nabi Bux Khambo,Keenjhar,Haji Kirar Khoso,25.0751683,68.79231,,NRSP,
Badin,Matli,Nabi Bux Khambo,Keenjhar,Haji Ibrahim Khoso,25.0730774,68.799716,,NRSP,
Badin,Matli,Malhan,Udhejani,Saleh Soomro,25.0280018,68.7267664,,NRSP,
Badin,Matli,Malhan,Ali Pur,Siddique Soomro,25.0343296,68.7047692,,NRSP,
Badin,Matli,Haji Allah Dino Sarewal,Chhan Ganga,Daim Khaskheli,25.1509734,68.7658154,,NRSP,
Badin,Matli,Malhan,Rain,Ahmed Dars,25.0235437,68.7580418,,NRSP,
Badin,Matli,Tharee,Panjam Hisso,Baksho Nizamani,25.0014927,68.8532316,,NRSP,
Badin,Matli,Haji Allah Dino Sarewal,Chhan Ganga,Lakshri Khoso,25.1469283,68.74545,,NRSP,
Badin,Matli,Haji Allah Dino Sarewal,Chhan Ganga,Qazi Azam Dusti,25.1520569,68.7791711,,NRSP,
Badin,Matli,Manik Laghari,Ghari Bhiri,Saifudin Laghari,25.206059,68.7838314,,NRSP,
Badin,Matli,Haji Sawan,Khudi,Gollo Mallah,24.9777856,68.7975575,,NRSP,
